"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","2501 Mossy Oaks Boulevard","Beaufort County School District","Beaufort Middle","http://bms.beaufortschools.net/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","6-8 SPED       ","carole.ingram@beaufort.k12.sc.us","Carole","field no longer used","Ingram","843-322-5700","Ms.","Lowcountry",028,"",8433225723,"Beaufort Middle                                   ",8433225700,2020,0701028,"SC",29902,
"","80 Lowcountry Drive","Beaufort-Jasper Career Center","Beaufort-Jasper Academy For Ex","http://www.bjace.org","Ridgeland","Beaufort                                          ",0780,"Beaufort 80                                       ","10-12 SPED","lovecchiom@bjace.org","Michael","field no longer used","Lovecchio","843-987-8107","Dr.","",995,"",8439871130,"Beaufort-Jasper Academy For Ex                    ",8439878107,2020,0780995,"SC",29936,
"","901 Woodruff Road","The School District of Greenville County","Beck International Academy","http://www.greenville.k12.sc.us/beck/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","jmeisten@greenville.k12.sc.us","Jennifer","field no longer used","Meisten","864-355-1400","Ms.","Greenville",029,"",8643551490,"Beck International Academy                                      ",8643551400,2020,2301029,"SC",29607,
"","1001 Beech Hill Road","Dorchester 2","Beech Hill Elementary","http://bhes.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","rharris@dorchester2.k12.sc.us","Rene","field no longer used","Harris","843-821-3970","Ms.","Trident",021,"",8438213979,"Beech Hill Elem                                   ",8438213970,2020,1802021,"SC",29485,
"P.O. Box 411","200 South Danzler Road","Spartanburg Five","Beech Springs Intermediate","http://www.spart5.net/bsis/site/default.asp","Duncan","Spartanburg                                       ",4205,"Spartanburg 05                                    ","5-6 SPED       ","Taylor.Deal@spart5.net","Taylor","field no longer used","Deal","864-949-7600","Mr.","Upstate",089,"",8649497604,"Beech Springs Intermed                            ",8649497600,2020,4205089,"SC",29334,
"","1340 Highway 378","Lexington County School District One","Beechwood Middle","http://www.lexington1.net/schools/beechwood-middle-school","Lexington","Lexington                                         ",3201,"Lexington 01                                      ","6-8 SPED","gjenkinson@lexington1.net","Gloria B.","","Jenkinson","803-821-5700","Mrs.","",071,"",8038215703,"Beechwood Middle",8038215700,2020,3201071,"SC",29072,
"","804 Scuffletown Road","The School District of Greenville County","Bell's Crossing Elementary","http://www.greenville.k12.sc.us/bells/","Simpsonville","Greenville                                        ",2301,"Greenville 01                                     ","K-5 SPED       ","cdross@greenville.k12.sc.us","Chris","field no longer used","Ross","864-355-3800","Mr.","Greenville",112,"",8643553885,"Bells Crossing Elem                               ",8643553800,2020,2301112,"SC",29681,
"","385 Egypt Road","Charleston County School District","Belle Hall Elementary","http://bellehall.ccsdschools.com","Mt. Pleasant","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","kevin_conklin@charleston.k12.sc.us","Kevin","field no longer used","Conklin","843-849-2841","Mr.","Trident",096,"",8438492893,"Belle Hall Elem                                   ",8438492841,2020,1001096,"SC",29464,
"","501 Belleview Road","Rock Hill School District Three of York County","Belleview Elementary","https://www.rock-hill.k12.sc.us/domain/8","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED      ","khood@rhmail.org","Kevin","field no longer used","Hood","803-981-1181","Mr.","Catawba",020,"",8039811193,"Belleview Elem                                    ",8039811181,2020,4603020,"SC",29730,
"","12088 Bells Highway","Colleton School District","Bells Elementary","http://bes.colletonsd.org/","Ruffin","Colleton                                          ",1501,"Colleton 01                                       ","PK-5 SPED      ","aliebenrood@colleton.k12.sc.us","Amy","field no longer used","Liebenrood","843-782-0012","Mrs.","Lowcountry",006,"",8438667361,"Bells Elem                                        ",8437820012,2020,1501006,"SC",29475,
"","202 Watkins Street","Anderson School District Two","Belton Elementary","http://bes.anderson2.org/","Belton","Anderson                                          ",0402,"Anderson 02                                       ","3-5 SPED       ","thedrick@asd2.org","Tracy","field no longer used","Hedrick","864-338-7738","Mrs.","Pendleton",013,"",8643383319,"Belton Elem                                       ",8643387738,2020,0402013,"SC",29627,
"","11000 Belton-Honea Path Highway","Anderson School District Two","Belton Honea Path High School","http://bhp.anderson2.org/","Honea Path","Anderson                                          ",0402,"Anderson 02                                       ","9-12 SPED      ","mboarts@asd2.org","Mary","field no longer used","Boarts","864-369-7382","Ms.","Pendleton",012,"",8643694011,"Belton Honea Path High                            ",8643697382,2020,0402012,"SC",29654,
"","102 Cherokee Road","Anderson School District Two","Belton Middle","http://bms.anderson2.org/","Belton","Anderson                                          ",0402,"Anderson 02                                       ","6-8 SPED       ","jburton@asd2.org","Josh","field no longer used","Burton","864-369-4712","Mr.","Pendleton",014,"",8643383301,"Belton Middle                                     ",8643694712,2020,0402014,"SC",29627,
"","5901 Belton Highway","Charter Institute at Erskine","Belton Preparatory","http://www.beltonprep.us/home","Belton","",4801,"Charter Institute at Erskine","K-3 SPED","dmccullough@beltonprep.us","Deirdre","","McCollough","864-392-1173","Ms.","",002,"",8643921867,"Belton Preparatory",8643921173,2020,4801002,"SC",29627,
"","201 Rhomboid Place","Aiken County Public Schools","Belvedere Elementary","http://www.acpsd.net/BES","Belvedere","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED           ","sminolfo@acpsd.net","Salvatore ","field no longer used","Minolfo","803-442-6330","Dr.","Lower Savannah",019,"",8034426131,"Belvedere Elem                                    ",8034426330,2020,0201019,"SC",29841,
"","628 Railroad Avenue West","Hampton County School District 1","Ben Hazel Primary","http://bhp.hampton1.org","Hampton","Hampton                                           ",2501,"Hampton 01                                        ","PK-3 SPED          ","bnoll@hampton1.k12.sc.us","Brandy","field no longer used","Noll","803-943-3659","Ms.","Lowcountry",018,"",8039430532,"Ben Hazel Primary                                 ",8039433659,2020,2501018,"SC",29924,
"","701 Cheraw Street","Marlboro County","Bennettsville Intermediate","http://bis.marlboro.k12.sc.us/","Bennettsville","Marlboro                                          ",3501,"Marlboro 01                                       ","4-5 SPED","chewett@marlboro.k12.sc.us","Crystal","field no longer used","Hewett","843-479-5941","Ms.","Pee Dee",029,"",8434795943,"Bennettsville Intermediate",84347959421,2020,3501029,"SC",29512,
"","301 Jefferson Street","Marlboro County","Bennettsville Primary","http://bps.marlboro.k12.sc.us/","Bennettsville","Marlboro                                          ",3501,"Marlboro 01                                       ","PK-3 SPED","gredding@marlboro.k12.sc.us","Gail S.","field no longer used","Redding","843-479-5936","Mr.","Pee Dee",012,"",8434542006,"Bennettsville Primary                             ",8434795936,2020,3501012,"SC",29512,
"","100 Berea Drive","The School District of Greenville County","Berea Elementary","https://sites.google.com/a/greenvilleschools.us/bereaelementary","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","K-5 SPED       ","twmiller@greenville.k12.sc.us","Thomas","field no longer used","Miller","864-355-1500","Mr.","Greenville",036,"",8643551558,"Berea Elem                                        ",8643551500,2020,2301036,"SC",29617,
"","201 Burdine Drive","The School District of Greenville County","Berea High School","http://sites.greenvilleschools.us/bereahs/home","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED      ","mnoel@greenville.k12.sc.us","Mike","field no longer used","Noel","864-355-1600","Mr.","Greenville",002,"",8643551625,"Berea High                                        ",8643551600,2020,2301002,"SC",29617,
"","151 Berea Middle School Road","The School District of Greenville County","Berea Middle","http://www.greenville.k12.sc.us/beream/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","ccollington@greenville.k12.sc.us","Corey","field no longer used","Collington","864-355-1700","Ms.r","Greenville",042,"",8643551777,"Berea Middle                                      ",8643551700,2020,2301042,"SC",29617,
"","1001 South Live Oak Drive","Berkeley County School District","Berkeley County Middle College High School","http://www.bcsdschools.net/bmc","Moncks Corner","Berkeley                                          ",0801,"Berkeley 01                                       ","11-12 SPED         ","Smithdaw@bcsdschools.net","Dawn","field no longer used","Smith","843-899-8110","Ms.","Trident",051,"",8038998113,"Berkeley County Middle College                    ",8438998110,2020,0801051,"SC",29461,
"","715 Highway 6","Berkeley County School District","Berkeley Elementary","http://www.bcsdschool.net/bes","Moncks Corner","Berkeley                                          ",0801,"Berkeley 01                                       ","PK-2 SPED           ","gabrielk@bcsdschools.net","Kelly","field no longer used","Gabriel","843-899-8860","Ms.","Trident",011,"",8438998865,"Berkeley Elem                                     ",8438998860,2020,0801011,"SC",29461,
